year,month,fakex,fakey,city,state
1992,4,1,0,Annapolis,MD
1992,5,2,0,Annapolis,MD
1992,6,3,0,Annapolis,MD
1992,7,4,0,Annapolis,MD
1992,8,5,0,Annapolis,MD
1992,9,6,0,Annapolis,MD
1992,10,7,0,Annapolis,MD
1992,11,8,0,Annapolis,MD
1992,12,9,0,Annapolis,MD
1993,1,10,0,Annapolis,MD
1993,2,11,0,Annapolis,MD
1993,3,12,0,Annapolis,MD
1993,4,13,0,Annapolis,MD
1993,5,14,0,Annapolis,MD
1993,6,15,0,Annapolis,MD
1993,7,16,0,Annapolis,MD
1993,8,17,0,Annapolis,MD
1993,9,18,0,Annapolis,MD
1993,10,19,0,Annapolis,MD
1993,11,20,0,Annapolis,MD
1993,12,21,0,Annapolis,MD
1994,1,22,0,Annapolis,MD
1994,2,23,0,Annapolis,MD
1994,3,24,0,Annapolis,MD
1994,4,25,0,Annapolis,MD
1994,5,26,0,Annapolis,MD
1994,6,27,0,Annapolis,MD
1994,7,28,0,Annapolis,MD
1994,8,29,0,Baton Rouge,LA
1994,9,30,0,Baton Rouge,LA
1994,10,31,0,Baton Rouge,LA
1994,11,32,0,Baton Rouge,LA
1994,12,33,0,Baton Rouge,LA
1995,1,34,0,Baton Rouge,LA
1995,2,35,0,Baton Rouge,LA
1995,3,36,0,Baton Rouge,LA
1995,4,37,0,Baton Rouge,LA
1995,5,38,0,Baton Rouge,LA
1995,6,39,0,Baton Rouge,LA
1995,7,40,0,Baton Rouge,LA
1995,8,41,0,Baton Rouge,LA
1995,9,42,0,Baton Rouge,LA
1995,10,43,0,Baton Rouge,LA
1995,11,44,0,Baton Rouge,LA
1995,12,45,0,Baton Rouge,LA
1996,1,46,0,Baton Rouge,LA
1996,2,47,0,Baton Rouge,LA
1996,3,48,0,Baton Rouge,LA
1996,4,49,0,Baton Rouge,LA
1996,5,50,0,Baton Rouge,LA
1996,6,51,0,Baton Rouge,LA
1996,7,52,0,Baton Rouge,LA
1996,8,53,0,Baton Rouge,LA
1996,9,54,0,Baton Rouge,LA
1996,10,55,0,Baton Rouge,LA
1996,11,56,0,Baton Rouge,LA
1996,12,57,0,Baton Rouge,LA
1997,1,58,0,Baton Rouge,LA
1997,2,59,0,Baton Rouge,LA
1997,3,60,0,Baton Rouge,LA
