first,last,gender,sport,event,experience,height,weight,dob,birth_city,birth_state,hometown_city,hometown_state,current_residence,current_state,school,n_games,age
Phillip,Dutton ,M,Equestrian,Eventing,"1996-G; 2000-G; 2004-6th,13th; 2008-7th; 2012-7th, 23rd","5'6""",150,1963-09-13,Nyngan,Australia,West Grove,PA,West Grove,PA,"Newington College ’84, Farming",5.0,53.0
Beezie,Madden,F,Equestrian,Jumping,"2004-G; 2008-G, B; 2012-","5'6""",140,1963-11-20,Milwaukee,WI,Cazenovia,NY,Cazenovia,NY,"Nicolet High School (Glendale, Wisconsin) '80",3.0,53.0
Steffen,Peters,M,Equestrian,Dressage,1996-B; 2008-4th; 2012-6th,"5'8""",150,1964-09-18,Wesel,Germany,San Diego,CA,San Diego,CA,"Voerde High School (Voerde, Germany) '84",3.0,52.0
Emil,Milev,M,Shooting,Rapid Fire,Bulgaria: 1992; 1996-S; 2000; 2004; USA: 2012,"5'10""",185,1968-05-02,Sofia,Bulgaria,Brandon,FL,Brandon,FL,"Bulgaria National Sports Academy ’01, Physical Education/Coaching",5.0,48.0
Enkelejda,Shehaj,F,Shooting,Sport,"Albania 1992-14th; 1996-15th, 21st","5'4""",126,1969-01-23,Tirana,Albania,Naples,FL,Naples,FL,University of Albania,2.0,47.0
Kristin,Armstrong,F,Cycling,"Road Race, Time Trial",2004; 2008-G; 2012-G,"5'8""",128,1973-08-11,Memphis,TN,Boise,ID,Boise,ID,"Universty of Idaho '95, Exercise Physiology",3.0,43.0
Bernard,Lagat,M,Track and Field,"5,000m",2000-B; 2004-S; 2008; 2012,"5'8""",130,1974-12-12,Kapsabet,Kenya,Tucson,AZ,Tucson,AZ,Washington State '99,4.0,42.0
Keith,Sanderson,M,Shooting,Rapid Fire,2008-5th; 2012-14th,"6'0""",210,1975-02-02,Colorado Springs,CO,San Antonio,TX,Colorado Springs,CO,"John Marshall High School (San Antonio, Texas)",2.0,41.0
Meb,Keflezighi,M,Track and Field,Marathon,2000; 2004-S; 2012,"5'5""",125,1975-05-05,Asmara,Eritrea,San Diego,CA,San Diego,CA,UCLA - Communications (1998),3.0,41.0
McLain,Ward,M,Equestrian,Jumping,"2004-G; 2008-G, 6th; 2012-6th, 29th","5'9""",155,1975-10-17,Mount Kisco,NY,Brewster,NY,Brewster,NY,Greenwich Country Day,3.0,41.0
Bora,Gulari,M,Sailing,Nacra 17 Class (Two-Person Mixed Multihull),None,"5'11""",165,1975-10-22,Istanbul,Turkey,Detroit,MI,Detroit,MI,"University of Michigan '00, Aerospace Engineering",0.0,41.0
Jake,Gibb,M,Beach Volleyball,Beach,2008; 2012,"6'7""",210,1976-02-06,Bountiful,UT,Bountiful,UT,Huntington Beach,CA,University of Utah - Business (2002 grad),2.0,40.0
Merrill,Moses,M,Water Polo,Goalkeeper,2008-S; 2012,"6'3""",215,1977-08-13,Harbor City,CA,Newbury Park,CA,Newbury Park,CA,Pepperdine 2000 - Public Relations,2.0,39.0
Reid,Priddy,M,Indoor Volleyball,Outside Hitter,2004; 2008-G; 2012,"6'4""",196,1977-10-01,Richmond,VA,Richmond,VA,Las Vegas,NV,Loyola Marymount - Communication Studies (2000 grad),3.0,39.0
John,Nunn,M,Track and Field,50K Race Walk,2004; 2012,"6'2""",172,1978-02-03,Durango,CO,Evansville,IN,Bonsall,CA,University of Wisconsin - Parkside (1997),2.0,38.0
Kerri,Walsh Jennings,F,Beach Volleyball,Beach,2000; 2004-G; 2008-G; 2012-G,"6'3""",160,1978-08-15,Santa Clara,CA,Saratoga,CA,Manhattan Beach,CA,Stanford,4.0,38.0
Steven,Lopez,M,Taekwondo,80 kg.,2000-G; 2004-G; 2008-B; 2012,"6'3""",185,1978-11-09,New York,NY,Sugar Land,TX,Sugar Land,TX,"Kempner High School (Sugar Land, Texas) '97",4.0,38.0
Maggie,Hogan,F,Canoe (Sprint),K1,none,"5'7""",135,1979-01-01,Langhorn,PA,Huntington Beach,CA,Huntington Beach,CA,"University of California - Santa Barbara '01, Bio-Psychology, Oklahoma City University '14, MBA",0.0,37.0
Jay,Shi,M,Shooting,"Free, Air",none,"5'8""",135,1979-02-23,Beijing,China,Phoenix,AZ,Phoenix,AZ,"Arizona State University ’04, Computer System Engineering",0.0,37.0
Kim,Rhode,F,Shooting,Skeet,1996-G; 2000-B; 2004-G; 2008-S; 2012-G,"5'4""",180,1979-07-16,Whittier,CA,El Monte,CA,Monrovia,CA,"California State Polytechnic University – Pomona, Food and Marketing, and Agribusiness Management",5.0,37.0
Tamika,Catchings,F,Basketball,Forward,2004-G; 2008-G; 2012-G,"6'2""",170,1979-07-21,Stratford,NJ,Indianapolis,IN,Indianapolis,IN,University of Tennessee '01,3.0,37.0
Boyd,Martin ,M,Equestrian,Eventing,2012-7th,"6'2""",175,1979-08-20,Sydney,Australia,Cochranville,PA,Cochranville,PA,"Nimbin University '98, Biology",1.0,37.0
Nick,Lucena,M,Beach Volleyball,Beach,none,"6'1""",185,1979-09-22,Davie,FL,Cooper City,FL,Tallahassee,FL,Florida State - Sport Management,0.0,37.0
Allison,Brock,F,Equestrian,Dressage,none,"5'6""",130,1979-12-07,Honolulu,HI,Wellington,FL,Wellington,FL,"Kailua High School (Kailua, Hawaii) '97",0.0,37.0
Phil,Dalhausser,M,Beach Volleyball,Beach,2008-G; 2012,"6'9""",205,1980-01-26,Baden,Switzerland,Ormond Beach,FL,Manhattan Beach,CA,Univerity of Central Florida - Business Administration,2.0,36.0
Casey,Patterson,M,Beach Volleyball,Beach,none,6-6,195,1980-04-20,Van Nuys,CA,Newbury Park,CA,Huntington Beach,CA,BYU,0.0,36.0
Sue,Bird,F,Basketball,Guard,2004-G; 2008-G; 2012-G,"5'9""",147,1980-10-16,New York,NY,Syosset,NY,Seattle,WA,University of Connecticut  '02,3.0,36.0
Carmen,Farmer,F,Rugby,Lock,none,"6'1""",180,1980-12-04,Richmond,VA,Richmond,VA,East New Market,MD,"Virginia Tech University ’03, Public and Urban Affairs; University of Maryland-Baltimore ‘06, Law",0.0,36.0
